type,model,origin,destination,distance,duration
hgv,corridor,9:8,12:13,373.16,27.7
hgv,corridor,9:8,14:15,452.4,32.7
hgv,corridor,9:8,16:17,602.4,43.5
hgv,corridor,9:8,18:19,601.89,44.1
hgv,corridor,9:8,4:6,287.86,21.2
hgv,corridor,9:8,5:7,610.2,44.1
motorcycle,corridor,11:10,12:13,380.72,28.9
motorcycle,corridor,11:10,14:15,459.96,33.8
motorcycle,corridor,11:10,16:17,609.96,44.8
motorcycle,corridor,11:10,18:19,609.45,45.3
motorcycle,corridor,11:10,4:6,290.1,21.1
motorcycle,corridor,11:10,5:7,617.76,45.3
motorcycle,corridor,11:10,8:9,297.9,21.7
motorcycle,corridor,13:12,10:11,381.43,27.7
motorcycle,corridor,13:12,14:15,365.39,26.6
motorcycle,corridor,13:12,16:17,515.39,37.5
motorcycle,corridor,13:12,18:19,514.88,38.1
motorcycle,corridor,13:12,4:6,389.23,28.3
motorcycle,corridor,13:12,5:7,523.19,38.0
motorcycle,corridor,13:12,8:9,380.92,28.3
motorcycle,corridor,15:14,10:11,465.39,33.9
motorcycle,corridor,15:14,12:13,365.39,26.6
motorcycle,corridor,15:14,16:17,431.43,31.4
motorcycle,corridor,15:14,18:19,430.92,32.0
motorcycle,corridor,15:14,4:6,473.19,34.4
motorcycle,corridor,15:14,5:7,439.23,31.9
motorcycle,corridor,15:14,8:9,464.88,34.4
motorcycle,corridor,17:16,10:11,609.96,44.8
motorcycle,corridor,17:16,12:13,509.96,37.5
motorcycle,corridor,17:16,14:15,430.72,32.5
motorcycle,corridor,17:16,18:19,297.9,21.7
motorcycle,corridor,17:16,4:6,617.76,45.3
motorcycle,corridor,17:16,5:7,290.1,21.1
motorcycle,corridor,17:16,8:9,609.45,45.3
motorcycle,corridor,19:18,10:11,607.3,44.2
motorcycle,corridor,19:18,12:13,507.3,36.9
motorcycle,corridor,19:18,14:15,428.06,31.9
motorcycle,corridor,19:18,16:17,297.9,21.7
motorcycle,corridor,19:18,4:6,615.1,44.7
motorcycle,corridor,19:18,5:7,292.76,21.7
motorcycle,corridor,19:18,8:9,606.79,44.7
motorcycle,corridor,6:4,10:11,289.59,21.7
motorcycle,corridor,6:4,12:13,385.86,28.8
motorcycle,corridor,6:4,14:15,465.1,33.8
motorcycle,corridor,6:4,16:17,615.1,44.7
motorcycle,corridor,6:4,18:19,614.59,45.3
motorcycle,corridor,6:4,5:7,622.9,45.3
motorcycle,corridor,6:4,8:9,290.1,21.1
motorcycle,corridor,7:5,10:11,615.1,44.7
motorcycle,corridor,7:5,12:13,515.1,37.5
motorcycle,corridor,7:5,14:15,435.86,32.5
motorcycle,corridor,7:5,16:17,289.59,21.7
motorcycle,corridor,7:5,18:19,290.1,21.1
motorcycle,corridor,7:5,4:6,622.9,45.3
motorcycle,corridor,7:5,8:9,614.59,45.3
motorcycle,corridor,9:8,10:11,297.9,21.7
motorcycle,corridor,9:8,12:13,378.06,28.3
motorcycle,corridor,9:8,14:15,457.3,33.3
motorcycle,corridor,9:8,16:17,607.3,44.2
motorcycle,corridor,9:8,18:19,606.79,44.8
motorcycle,corridor,9:8,4:6,292.76,21.7
motorcycle,corridor,9:8,5:7,615.1,44.7
car,manhattan,a1:b1,b2:a2,331.23,29.8
car,manhattan,a1:b1,b3:b4,461.2,41.5
car,manhattan,a1:b1,c1:c0,357.7,32.2
car,manhattan,a1:b1,d1:e1,475.6,42.8
car,manhattan,a1:b1,d3:d4,701.2,63.1
car,manhattan,a1:b1,d3:e3,707.73,63.7
car,manhattan,a3:b3,b2:a2,604.23,54.4
car,manhattan,a3:b3,b3:b4,221.2,19.9
car,manhattan,a3:b3,c1:c0,597.7,53.8
car,manhattan,a3:b3,d1:e1,707.73,63.7
car,manhattan,a3:b3,d3:d4,461.2,41.5
car,manhattan,a3:b3,d3:e3,475.6,42.8
car,manhattan,b0:b1,b2:a2,345.63,31.1
car,manhattan,b0:b1,b3:b4,475.6,42.8
car,manhattan,b0:b1,c1:c0,364.23,32.8
car,manhattan,b0:b1,d1:e1,482.13,43.4
car,manhattan,b0:b1,d3:d4,707.73,63.7
car,manhattan,b0:b1,d3:e3,714.26,64.3
car,manhattan,c4:c3,b2:a2,482.13,43.4
car,manhattan,c4:c3,b3:b4,604.23,54.4
car,manhattan,c4:c3,c1:c0,475.6,42.8
car,manhattan,c4:c3,d1:e1,585.63,52.7
car,manhattan,c4:c3,d3:d4,331.23,29.8
car,manhattan,c4:c3,d3:e3,345.63,31.1
car,manhattan,d0:d1,b2:a2,585.63,52.7
car,manhattan,d0:d1,b3:b4,707.73,63.7
car,manhattan,d0:d1,c1:c0,571.23,51.4
car,manhattan,d0:d1,d1:e1,242.13,21.8
car,manhattan,d0:d1,d3:d4,475.6,42.8
car,manhattan,d0:d1,d3:e3,482.13,43.4
car,manhattan,e2:d2,b2:a2,475.6,42.8
car,manhattan,e2:d2,b3:b4,597.7,53.8
car,manhattan,e2:d2,c1:c0,461.2,41.5
car,manhattan,e2:d2,d1:e1,571.23,51.4
car,manhattan,e2:d2,d3:d4,357.7,32.2
car,manhattan,e2:d2,d3:e3,364.23,32.8
bus,manhattan,a1:b1,b2:a2,323.53,29.0
bus,manhattan,a1:b1,b3:b4,453.5,40.7
bus,manhattan,a1:b1,c1:c0,350.0,31.4
bus,manhattan,a1:b1,d1:e1,467.9,42.0
bus,manhattan,a1:b1,d3:d4,693.5,62.2
bus,manhattan,a1:b1,d3:e3,700.03,62.8
bus,manhattan,a3:b3,b2:a2,596.53,53.5
bus,manhattan,a3:b3,b3:b4,213.5,19.2
bus,manhattan,a3:b3,c1:c0,590.0,52.9
bus,manhattan,a3:b3,d1:e1,700.03,62.8
bus,manhattan,a3:b3,d3:d4,453.5,40.7
bus,manhattan,a3:b3,d3:e3,467.9,42.0
bus,manhattan,b0:b1,b2:a2,337.93,30.3
bus,manhattan,b0:b1,b3:b4,467.9,42.0
bus,manhattan,b0:b1,c1:c0,356.53,32.0
bus,manhattan,b0:b1,d1:e1,474.43,42.6
bus,manhattan,b0:b1,d3:d4,700.03,62.8
bus,manhattan,b0:b1,d3:e3,706.56,63.4
bus,manhattan,c4:c3,b2:a2,474.43,42.6
bus,manhattan,c4:c3,b3:b4,596.53,53.5
bus,manhattan,c4:c3,c1:c0,467.9,42.0
bus,manhattan,c4:c3,d1:e1,577.93,51.9
bus,manhattan,c4:c3,d3:d4,323.53,29.0
bus,manhattan,c4:c3,d3:e3,337.93,30.3
bus,manhattan,d0:d1,b2:a2,577.93,51.8
bus,manhattan,d0:d1,b3:b4,700.03,62.8
bus,manhattan,d0:d1,c1:c0,563.53,50.6
bus,manhattan,d0:d1,d1:e1,234.43,21.1
bus,manhattan,d0:d1,d3:d4,467.9,42.0
bus,manhattan,d0:d1,d3:e3,474.43,42.6
bus,manhattan,e2:d2,b2:a2,467.9,42.0
bus,manhattan,e2:d2,b3:b4,590.0,52.9
bus,manhattan,e2:d2,c1:c0,453.5,40.7
bus,manhattan,e2:d2,d1:e1,563.53,50.6
bus,manhattan,e2:d2,d3:d4,350.0,31.4
bus,manhattan,e2:d2,d3:e3,356.53,32.0
lgv,manhattan,a1:b1,b2:a2,329.03,29.6
lgv,manhattan,a1:b1,b3:b4,459.0,41.3
lgv,manhattan,a1:b1,c1:c0,355.5,32.0
lgv,manhattan,a1:b1,d1:e1,473.4,42.6
lgv,manhattan,a1:b1,d3:d4,699.0,62.8
lgv,manhattan,a1:b1,d3:e3,705.53,63.4
lgv,manhattan,a3:b3,b2:a2,602.03,54.1
lgv,manhattan,a3:b3,b3:b4,219.0,19.7
lgv,manhattan,a3:b3,c1:c0,595.5,53.6
lgv,manhattan,a3:b3,d1:e1,705.53,63.4
lgv,manhattan,a3:b3,d3:d4,459.0,41.3
lgv,manhattan,a3:b3,d3:e3,473.4,42.6
