PID,age,gender,education,socialMediaUsage,socialMediaAcceptance,hasLicence,hasCarAccess,rideShareUsage,pedCycleFreq,rank_car,rank_ev,rank_bus,rank_motorbike,rank_lgv,rank_hgv,rank_none,tlGripe,mapUsage,mapHelp,position,speed,signals,passengers,totalStops,stopTime,duration,distance,emissionClass,vehicleType,speedFactor,UTMAcceptance,deliveryMode,busPriority,emergencyPriority,sharedPriority,evPriority,tradePriority
3487539,40-59,Male,DOCTORATE,MONTHLY,2,YES,YES,WEEKLY_ONCE,WEEKLY_MULTI,2,-1,1,-1,-1,-1,-1,WAITING,MONTHLY,NA,2,4,4,2,4,4,3,3,4,4,3,6,THIRDPARTY,YES,YES,NA,NA,NO
3487541,40-59,Male,DOCTORATE,MONTHLY,6,YES,YES,MONTHLY,WEEKLY_MULTI,1,-1,2,-1,-1,-1,-1,STARTSTOP,WEEKLY_MULTI,YES,5,5,5,3,5,5,5,5,5,5,4,8,BUILTIN,YES,YES,NA,YES,NO
3487557,25-39,Male,DOCTORATE,DAILY,8,YES,NO,WEEKLY_MULTI,RARELY,-1,-1,-1,-1,-1,-1,1,STARTSTOP,RARELY,YES,5,5,5,3,5,5,5,5,5,5,3,10,BUILTIN,YES,YES,YES,YES,NO
3487568,40-59,Female,DOCTORATE,DAILY,9,YES,YES,WEEKLY_MULTI,RARELY,1,-1,-1,-1,-1,-1,-1,STARTSTOP,MONTHLY,YES,2,5,5,2,2,2,5,5,5,5,5,7,APP,NO,YES,NO,YES,NO
3487571,40-59,Male,DOCTORATE,DAILY,8,YES,YES,WEEKLY_MULTI,WEEKLY_MULTI,1,-1,-1,-1,-1,-1,-1,STARTSTOP,WEEKLY_MULTI,YES,5,3,3,5,5,5,4,5,5,5,3,8,APP,YES,YES,NO,NO,NO
3487585,25-39,Male,MASTERS,DAILY,8,YES,NO,MONTHLY,WEEKLY_MULTI,-1,-1,-1,-1,-1,-1,1,STARTSTOP,WEEKLY_ONCE,NA,2,5,4,4,3,4,4,4,4,5,3,9,BUILTIN,YES,YES,NO,NO,NO
3487622,25-39,Male,DOCTORATE,WEEKLY_MULTI,7,NO,NO,RARELY,WEEKLY_MULTI,-1,-1,1,-1,-1,-1,-1,STARTSTOP,WEEKLY_MULTI,YES,5,5,5,5,5,5,5,5,5,5,4,10,BUILTIN,YES,YES,NO,NO,NO
3487699,60+,Female,DOCTORATE,DAILY,8,YES,YES,WEEKLY_MULTI,WEEKLY_MULTI,-1,-1,1,-1,-1,-1,-1,STARTSTOP,WEEKLY_MULTI,YES,5,5,5,5,5,5,5,5,5,5,5,10,BUILTIN,YES,YES,YES,YES,NO
3487710,25-39,Female,BACHELORS,DAILY,2,YES,YES,MONTHLY,MONTHLY,1,2,-1,-1,-1,-1,-1,STARTSTOP,MONTHLY,YES,1,1,2,1,3,3,2,2,1,4,1,2,NOSHARE,NO,YES,NO,NO,NO
3487720,25-39,Male,DOCTORATE,WEEKLY_MULTI,5,YES,YES,MONTHLY,WEEKLY_MULTI,1,-1,-1,-1,-1,-1,-1,SUDDENRED,WEEKLY_ONCE,YES,5,5,5,3,5,5,5,5,5,5,5,10,BUILTIN,YES,YES,NO,NO,NO
3488090,25-39,Male,MASTERS,DAILY,8,YES,NO,WEEKLY_MULTI,WEEKLY_MULTI,1,-1,2,-1,-1,-1,-1,SUDDENRED,WEEKLY_MULTI,YES,5,3,3,4,5,5,5,5,5,5,4,10,APP,NO,YES,NO,NO,NO
3488298,25-39,Female,MASTERS,DAILY,9,YES,YES,WEEKLY_MULTI,WEEKLY_ONCE,2,3,1,-1,-1,-1,-1,STARTSTOP,WEEKLY_MULTI,YES,5,5,5,5,5,5,5,5,5,5,1,9,THIRDPARTY,YES,YES,NO,NO,NO
